order_value,customer_age,previous_orders,previous_returns,delivery_days,payment_method,customer_rating,return_rate,returned
4104,50,8,2,4,COD,3.2,0.25,0
7037,27,14,5,8,UPI,3.7,0.35714285714285715,0
1649,51,23,10,8,UPI,4.4,0.43478260869565216,1
4700,61,28,5,1,COD,4.1,0.17857142857142858,0
5654,25,25,4,2,CARD,5.0,0.16,0
9624,54,30,3,5,UPI,2.0,0.1,1
4317,50,8,0,9,CARD,3.1,0.0,0
9069,64,21,9,10,UPI,2.8,0.42857142857142855,1
2228,23,16,5,7,UPI,2.8,0.3125,1
7045,61,13,1,10,COD,2.7,0.07692307692307693,1
3958,57,18,2,5,COD,4.1,0.1111111111111111,1
6104,62,15,7,1,COD,2.3,0.4666666666666667,1
4824,36,21,9,6,UPI,4.2,0.42857142857142855,0
9048,49,24,5,8,COD,4.1,0.20833333333333334,0
365,44,26,2,7,UPI,2.8,0.07692307692307693,1
4791,18,25,6,2,COD,2.8,0.24,1
789,60,28,3,5,CARD,3.9,0.10714285714285714,1
4724,50,28,8,4,COD,4.3,0.2857142857142857,1
3021,57,28,4,9,COD,4.6,0.14285714285714285,1
6709,49,13,2,10,COD,4.6,0.15384615384615385,1
7893,22,9,1,1,COD,4.9,0.1111111111111111,0
9654,34,29,10,6,COD,3.7,0.3448275862068966,1
271,25,15,1,3,UPI,4.7,0.06666666666666667,0
3780,59,13,2,9,COD,4.4,0.15384615384615385,0
8162,51,1,1,5,COD,4.7,1.0,1
468,26,25,3,6,CARD,2.0,0.12,1
2662,40,7,1,9,COD,4.9,0.14285714285714285,0
9660,52,9,9,9,CARD,3.4,1.0,1
1215,24,24,8,8,CARD,4.4,0.3333333333333333,0
9475,32,1,1,9,COD,2.4,1.0,0
8184,37,12,8,4,COD,3.2,0.6666666666666666,1
606,42,8,5,6,COD,2.8,0.625,0
7584,20,24,0,5,UPI,2.9,0.0,1
6249,63,11,3,5,UPI,2.4,0.2727272727272727,1
6369,41,19,0,4,UPI,4.4,0.0,0
8182,51,17,5,2,UPI,2.0,0.29411764705882354,0
1185,63,8,3,6,COD,2.9,0.375,0
4685,39,3,2,9,CARD,2.5,0.6666666666666666,1
9101,28,3,2,1,UPI,3.8,0.6666666666666666,1
2818,25,1,0,7,UPI,2.8,0.0,0
6489,56,27,5,6,CARD,2.8,0.18518518518518517,1
9803,60,5,0,3,UPI,3.5,0.0,0
7128,52,10,4,1,COD,4.0,0.4,1
5568,63,7,1,4,COD,2.4,0.14285714285714285,0
4821,55,26,7,9,UPI,2.5,0.2692307692307692,1
9877,25,9,4,2,COD,2.7,0.4444444444444444,1
7766,54,28,1,3,CARD,4.9,0.03571428571428571,0
4870,44,7,3,2,COD,3.2,0.42857142857142855,1
7858,45,9,8,2,UPI,3.8,0.8888888888888888,1
1203,57,8,3,10,UPI,2.7,0.375,1
7704,51,12,3,8,COD,3.5,0.25,1
2666,49,2,1,3,CARD,2.2,0.5,1
2139,32,1,0,7,CARD,2.1,0.0,0
1835,61,16,5,8,UPI,3.4,0.3125,1
8295,34,23,10,3,COD,3.2,0.43478260869565216,1
6465,50,23,1,2,COD,2.4,0.043478260869565216,1
2095,64,30,6,8,COD,4.1,0.2,1
6724,63,24,2,3,COD,5.0,0.08333333333333333,1
1273,33,5,2,7,UPI,3.2,0.4,0
5384,46,3,0,1,CARD,3.9,0.0,0
2602,26,12,2,6,UPI,4.9,0.16666666666666666,0
5095,50,8,1,9,CARD,4.5,0.125,0
7531,46,22,9,3,UPI,3.4,0.4090909090909091,1
9543,30,27,8,7,UPI,4.2,0.2962962962962963,0
2156,38,3,1,6,CARD,2.4,0.3333333333333333,0
7223,38,1,1,8,UPI,3.5,1.0,1
4107,22,3,2,3,CARD,2.8,0.6666666666666666,1
1007,27,5,1,3,COD,2.5,0.2,0
8578,23,15,7,4,COD,3.3,0.4666666666666667,1
5027,30,14,8,3,CARD,2.4,0.5714285714285714,1
4724,18,3,2,9,UPI,4.1,0.6666666666666666,1
9699,37,1,0,4,CARD,3.4,0.0,0
2484,64,5,0,6,CARD,3.6,0.0,0
5513,63,26,2,8,COD,2.4,0.07692307692307693,1
957,25,23,4,8,UPI,2.4,0.17391304347826086,0
5087,27,14,8,5,COD,3.8,0.5714285714285714,1
4054,26,7,3,5,UPI,5.0,0.42857142857142855,0
3758,58,27,2,6,UPI,2.3,0.07407407407407407,1
9972,20,9,6,10,COD,2.9,0.6666666666666666,1
1161,28,15,0,7,UPI,4.6,0.0,1
4047,29,15,3,10,UPI,2.2,0.2,1
6926,27,26,3,7,COD,4.6,0.11538461538461539,1
3775,42,10,6,4,CARD,3.6,0.6,0
9267,42,28,7,6,UPI,3.2,0.25,1
2618,28,13,0,7,CARD,2.9,0.0,0
4398,53,19,4,5,COD,2.9,0.21052631578947367,1
1201,56,7,6,5,COD,2.9,0.8571428571428571,1
5444,43,17,3,2,UPI,4.7,0.17647058823529413,0
7319,31,20,3,7,COD,4.2,0.15,1
4266,56,29,3,6,CARD,4.0,0.10344827586206896,1
3045,57,4,3,1,COD,4.4,0.75,1
9873,18,30,5,4,UPI,2.8,0.16666666666666666,1
9049,21,5,1,3,UPI,3.9,0.2,0
5516,47,23,4,3,COD,3.4,0.17391304347826086,0
622,29,7,3,7,COD,4.3,0.42857142857142855,1
6915,52,13,2,10,UPI,2.9,0.15384615384615385,0
4466,30,15,6,4,UPI,3.9,0.4,1
7749,48,11,10,8,COD,4.6,0.9090909090909091,1
6516,55,29,5,9,CARD,3.2,0.1724137931034483,1
2910,60,4,4,3,COD,2.2,1.0,1
8844,40,13,5,5,COD,3.5,0.38461538461538464,1
8269,21,7,4,4,UPI,3.0,0.5714285714285714,1
1857,33,27,6,10,COD,4.0,0.2222222222222222,1
2741,24,19,1,6,CARD,4.9,0.05263157894736842,0
6963,39,22,10,10,COD,3.5,0.45454545454545453,1
3275,46,28,4,4,COD,3.4,0.14285714285714285,0
3364,28,2,1,8,COD,4.0,0.5,1
2253,50,10,5,3,UPI,2.3,0.5,1
8679,46,13,4,5,UPI,2.8,0.3076923076923077,1
5937,56,30,9,1,UPI,4.8,0.3,0
3417,29,25,6,6,COD,4.0,0.24,0
1647,24,21,9,5,COD,2.0,0.42857142857142855,1
6209,56,6,6,8,CARD,2.6,1.0,1
807,59,28,4,9,COD,4.0,0.14285714285714285,1
4752,43,28,0,8,CARD,4.3,0.0,0
1964,57,12,4,8,COD,4.5,0.3333333333333333,1
9617,26,12,9,3,CARD,2.9,0.75,1
9627,58,20,1,4,COD,4.8,0.05,1
9421,51,30,4,4,UPI,3.7,0.13333333333333333,1
2871,62,30,4,5,COD,4.1,0.13333333333333333,0
6719,30,11,1,9,COD,3.8,0.09090909090909091,1
4162,53,26,4,9,COD,2.4,0.15384615384615385,1
3377,42,23,3,10,COD,4.9,0.13043478260869565,0
3922,41,28,0,1,COD,2.4,0.0,1
5106,61,25,2,8,UPI,2.8,0.08,1
7463,34,7,0,1,UPI,4.4,0.0,0
5254,19,30,10,2,UPI,3.9,0.3333333333333333,1
9867,30,1,0,7,UPI,4.5,0.0,0
1008,48,1,0,8,UPI,3.5,0.0,0
9370,46,25,3,1,COD,3.1,0.12,1
925,45,27,6,3,UPI,4.8,0.2222222222222222,0
7901,44,30,4,7,COD,2.1,0.13333333333333333,1
1416,32,25,9,9,CARD,4.6,0.36,0
4251,48,20,3,8,COD,2.7,0.15,1
2397,57,13,1,8,COD,4.5,0.07692307692307693,0
3006,32,9,3,9,UPI,2.4,0.3333333333333333,1
9170,50,3,3,10,COD,3.7,1.0,1
1172,37,7,3,3,CARD,4.7,0.42857142857142855,0
5834,59,6,1,8,CARD,3.4,0.16666666666666666,1
7683,29,8,7,1,COD,4.2,0.875,1
2323,54,27,2,8,COD,4.4,0.07407407407407407,1
8990,26,9,8,7,UPI,4.2,0.8888888888888888,1
424,40,30,3,8,UPI,4.8,0.1,1
9232,25,5,4,1,COD,3.3,0.8,1
2014,49,1,1,6,UPI,2.5,1.0,1
1306,31,19,9,7,UPI,2.1,0.47368421052631576,1
324,44,10,4,5,COD,2.7,0.4,1
3446,42,12,9,5,COD,2.4,0.75,1
3131,30,24,0,7,UPI,3.7,0.0,0
3171,38,15,8,3,COD,2.6,0.5333333333333333,0
2217,62,27,0,6,CARD,2.1,0.0,0
7615,48,22,7,7,COD,2.1,0.3181818181818182,1
2615,54,24,8,1,UPI,4.5,0.3333333333333333,0
3296,60,9,8,2,CARD,3.8,0.8888888888888888,1
1809,22,20,0,4,CARD,3.1,0.0,0
917,30,17,1,8,COD,4.7,0.058823529411764705,1
3761,45,30,0,10,COD,2.2,0.0,1
9408,60,17,9,6,UPI,4.9,0.5294117647058824,1
6982,42,26,1,1,COD,3.8,0.038461538461538464,0
1248,52,20,9,10,COD,2.6,0.45,1
9749,64,12,7,5,CARD,4.0,0.5833333333333334,1
8507,56,30,4,7,COD,4.3,0.13333333333333333,1
8105,24,7,3,6,COD,3.3,0.42857142857142855,0
5778,55,2,2,9,COD,4.6,1.0,1
1820,49,3,2,8,UPI,2.5,0.6666666666666666,1
6748,20,17,1,4,UPI,2.8,0.058823529411764705,0
7581,62,5,2,5,COD,2.3,0.4,1
4980,56,17,5,7,COD,2.6,0.29411764705882354,1
3992,54,24,7,8,COD,2.7,0.2916666666666667,1
3141,39,17,0,5,UPI,4.8,0.0,0
5895,25,27,0,9,COD,2.2,0.0,0
6601,34,17,6,10,CARD,3.3,0.35294117647058826,0
9369,44,2,0,4,COD,3.6,0.0,0
6397,50,2,2,4,CARD,4.7,1.0,1
5650,63,28,4,8,COD,5.0,0.14285714285714285,0
9175,34,22,0,1,UPI,4.3,0.0,0
8632,59,23,6,8,COD,4.9,0.2608695652173913,1
6074,29,5,4,5,COD,4.4,0.8,0
1753,63,1,1,1,CARD,4.9,1.0,0
1212,44,1,0,4,CARD,4.1,0.0,0
8578,25,19,7,2,COD,2.2,0.3684210526315789,1
2081,40,30,8,4,UPI,3.2,0.26666666666666666,0
6999,59,2,2,8,UPI,3.9,1.0,1
4786,46,21,10,5,CARD,3.1,0.47619047619047616,0
8822,37,12,0,1,COD,2.8,0.0,1
8630,33,26,2,7,UPI,3.7,0.07692307692307693,1
6647,34,6,2,1,UPI,4.8,0.3333333333333333,1
2545,33,23,7,9,COD,2.1,0.30434782608695654,1
275,36,4,0,3,CARD,4.3,0.0,0
9748,25,23,4,3,COD,4.2,0.17391304347826086,0
6077,55,11,3,6,COD,4.9,0.2727272727272727,1
6985,55,24,4,10,UPI,4.8,0.16666666666666666,1
5122,46,27,7,6,UPI,4.3,0.25925925925925924,0
8290,58,17,9,6,COD,3.6,0.5294117647058824,1
2530,53,6,6,1,COD,2.6,1.0,1
4886,43,24,3,5,CARD,3.6,0.125,1
2102,48,5,2,6,COD,4.3,0.4,1
4870,61,20,3,8,UPI,4.7,0.15,0
7343,29,2,2,1,UPI,4.4,1.0,1
2259,34,6,2,5,COD,2.6,0.3333333333333333,1
340,32,22,6,3,CARD,3.8,0.2727272727272727,0
1989,26,11,2,2,UPI,3.0,0.18181818181818182,1
216,56,16,2,8,UPI,2.0,0.125,1
664,59,16,10,7,UPI,2.6,0.625,1
4671,29,1,1,10,UPI,2.3,1.0,1
2027,49,9,4,7,UPI,4.5,0.4444444444444444,1
8911,42,28,4,5,CARD,2.8,0.14285714285714285,0
6156,56,27,5,9,COD,2.9,0.18518518518518517,1
289,35,6,1,5,COD,4.9,0.16666666666666666,0
5015,32,16,5,2,COD,3.1,0.3125,1
3051,49,29,0,3,COD,2.0,0.0,0
3043,23,3,2,4,COD,2.9,0.6666666666666666,1
9317,61,20,7,5,CARD,2.4,0.35,0
6743,60,28,7,3,UPI,2.3,0.25,0
6101,52,27,8,7,UPI,2.2,0.2962962962962963,1
1169,51,4,0,5,UPI,3.8,0.0,0
1294,55,19,1,5,CARD,2.6,0.05263157894736842,0
6324,22,26,1,6,UPI,3.1,0.038461538461538464,0
7547,35,3,2,7,CARD,4.6,0.6666666666666666,1
3395,33,19,0,10,COD,3.3,0.0,1
1604,25,20,3,10,CARD,4.7,0.15,1
7140,42,7,5,8,UPI,3.5,0.7142857142857143,1
4490,49,20,3,9,COD,3.2,0.15,1
4182,43,9,8,4,UPI,4.3,0.8888888888888888,1
5755,39,1,0,5,UPI,2.2,0.0,1
8154,48,8,8,5,COD,2.3,1.0,1
4913,60,7,1,8,UPI,4.0,0.14285714285714285,1
3292,27,18,6,9,COD,3.5,0.3333333333333333,1
4359,29,8,1,7,COD,4.4,0.125,0
6508,45,1,1,5,CARD,4.7,1.0,1
7678,23,11,4,3,UPI,3.2,0.36363636363636365,1
8676,37,28,3,1,CARD,3.8,0.10714285714285714,0
5133,22,25,10,9,UPI,3.5,0.4,0
5126,40,25,7,5,COD,4.9,0.28,1
9579,26,18,1,9,UPI,4.5,0.05555555555555555,0
4169,46,23,5,10,UPI,4.7,0.21739130434782608,0
3165,33,30,4,4,CARD,2.8,0.13333333333333333,1
4519,63,10,1,5,COD,4.3,0.1,0
9175,39,3,2,4,CARD,2.8,0.6666666666666666,1
7308,25,7,1,2,CARD,2.6,0.14285714285714285,1
9341,37,28,0,1,UPI,4.8,0.0,0
4139,31,16,7,8,CARD,2.1,0.4375,1
244,56,26,1,4,COD,4.9,0.038461538461538464,1
2010,54,16,6,5,CARD,2.4,0.375,1
4766,51,25,8,6,UPI,4.5,0.32,1
9221,28,20,8,8,COD,2.8,0.4,1
2109,57,28,7,8,CARD,3.1,0.25,1
6564,50,17,10,7,UPI,2.7,0.5882352941176471,1
2781,48,2,1,4,UPI,3.8,0.5,0
891,61,1,1,6,UPI,3.0,1.0,1
1131,51,16,9,4,COD,4.0,0.5625,0
8110,24,30,8,7,UPI,2.0,0.26666666666666666,1
6582,40,12,1,1,CARD,2.2,0.08333333333333333,0
3606,63,5,5,5,COD,2.3,1.0,1
8539,24,5,3,10,COD,3.3,0.6,1
1232,42,27,3,10,COD,4.4,0.1111111111111111,1
1511,20,23,4,4,COD,4.7,0.17391304347826086,1
8779,55,9,2,7,UPI,2.7,0.2222222222222222,0
3321,37,9,0,9,UPI,3.7,0.0,0
2073,51,3,3,5,CARD,4.3,1.0,1
9307,61,19,4,4,UPI,2.9,0.21052631578947367,1
6981,61,16,2,9,COD,3.2,0.125,1
3948,47,16,9,5,CARD,3.6,0.5625,0
477,34,3,3,9,UPI,2.4,1.0,1
2059,27,20,6,8,UPI,2.1,0.3,1
6129,52,24,6,4,UPI,2.5,0.25,1
6992,37,22,0,7,CARD,3.9,0.0,0
4913,35,24,8,5,UPI,2.2,0.3333333333333333,1
4875,62,1,0,10,COD,2.6,0.0,1
1370,61,24,1,4,UPI,3.0,0.041666666666666664,0
8881,44,20,4,5,COD,2.2,0.2,1
9574,53,11,4,5,COD,2.6,0.36363636363636365,0
5508,40,17,7,9,COD,4.7,0.4117647058823529,1
2662,49,8,7,9,COD,2.1,0.875,1
487,27,4,3,6,COD,4.0,0.75,1
6153,28,6,2,4,COD,3.2,0.3333333333333333,1
4482,55,8,5,2,UPI,4.0,0.625,1
2107,23,20,5,3,CARD,3.8,0.25,0
1361,58,30,10,2,CARD,2.7,0.3333333333333333,1
329,64,3,0,5,COD,4.5,0.0,0
6537,51,16,5,6,UPI,3.5,0.3125,1
2563,53,30,1,5,CARD,4.5,0.03333333333333333,1
8351,54,25,1,2,COD,3.2,0.04,1
6183,34,3,0,5,UPI,5.0,0.0,0
343,57,25,4,9,UPI,4.3,0.16,1
8407,57,29,3,4,COD,4.9,0.10344827586206896,0
7669,29,18,10,10,CARD,3.5,0.5555555555555556,1
444,38,14,1,2,CARD,3.4,0.07142857142857142,0
1126,57,18,2,3,COD,4.3,0.1111111111111111,1
3378,36,2,2,3,COD,4.6,1.0,1
2376,20,22,7,9,COD,4.9,0.3181818181818182,1
5202,35,3,3,4,COD,3.0,1.0,0
1086,36,16,5,1,UPI,4.4,0.3125,1
8732,64,29,10,1,UPI,2.6,0.3448275862068966,0
3598,23,9,4,7,COD,3.6,0.4444444444444444,1
8697,33,4,4,7,CARD,2.5,1.0,1
9299,25,1,0,2,COD,3.0,0.0,0
2854,35,4,2,9,COD,4.8,0.5,1
7592,60,1,0,9,COD,2.4,0.0,1
1571,56,14,5,5,UPI,3.9,0.35714285714285715,1
7335,29,21,2,3,COD,3.8,0.09523809523809523,0
520,62,16,6,3,COD,2.4,0.375,1
4854,27,20,6,3,COD,3.0,0.3,0
5500,24,24,8,6,CARD,3.7,0.3333333333333333,0
6961,63,8,4,4,CARD,2.6,0.5,1
7054,18,7,6,8,COD,4.4,0.8571428571428571,1
5705,53,3,3,5,COD,4.9,1.0,1
9523,38,17,9,1,UPI,2.6,0.5294117647058824,0
6753,54,1,1,9,UPI,2.6,1.0,1
4242,41,16,7,1,COD,3.4,0.4375,0
9209,42,12,0,6,CARD,4.2,0.0,1
7698,24,27,4,1,UPI,2.8,0.14814814814814814,0
6836,59,19,2,3,UPI,2.1,0.10526315789473684,0
7562,34,22,0,10,UPI,3.6,0.0,1
211,46,23,3,5,CARD,4.9,0.13043478260869565,0
394,47,22,7,10,UPI,3.2,0.3181818181818182,1
2737,24,14,2,7,COD,3.3,0.14285714285714285,0
3042,50,30,9,10,COD,4.9,0.3,1
2429,24,6,1,8,UPI,4.1,0.16666666666666666,1
3209,41,6,2,9,COD,4.2,0.3333333333333333,0
8184,28,13,8,6,UPI,3.7,0.6153846153846154,1
2277,26,19,9,9,CARD,4.9,0.47368421052631576,1
8045,29,22,4,8,UPI,4.1,0.18181818181818182,1
4067,52,8,6,9,CARD,4.7,0.75,1
5073,21,27,10,10,COD,4.1,0.37037037037037035,1
8835,53,27,10,4,CARD,4.2,0.37037037037037035,0
497,45,2,1,9,UPI,2.9,0.5,1
6056,30,21,8,7,COD,2.9,0.38095238095238093,1
9236,40,30,8,5,UPI,4.3,0.26666666666666666,1
1215,36,1,1,5,COD,2.9,1.0,1
1584,59,28,3,1,UPI,3.7,0.10714285714285714,0
9789,54,15,5,2,UPI,2.7,0.3333333333333333,0
8945,56,1,1,10,COD,4.5,1.0,1
2550,41,5,1,3,UPI,2.3,0.2,1
1469,33,28,9,8,UPI,4.5,0.32142857142857145,0
1460,50,29,5,6,COD,3.8,0.1724137931034483,0
7901,29,16,0,10,COD,2.6,0.0,1
8576,51,19,8,5,COD,3.6,0.42105263157894735,0
4763,24,4,1,1,UPI,2.8,0.25,1
7097,28,3,0,9,CARD,3.0,0.0,0
5872,48,17,8,3,CARD,3.1,0.47058823529411764,1
5793,46,17,3,3,UPI,2.2,0.17647058823529413,1
6355,30,12,10,2,UPI,5.0,0.8333333333333334,1
5743,48,28,2,4,COD,2.1,0.07142857142857142,1
7440,19,30,6,2,UPI,4.0,0.2,0
4883,56,29,5,9,COD,3.1,0.1724137931034483,1
2081,32,14,7,10,COD,3.9,0.5,1
8913,28,21,2,7,UPI,3.1,0.09523809523809523,1
4009,51,6,4,8,COD,4.0,0.6666666666666666,1
6007,56,3,1,3,UPI,4.2,0.3333333333333333,1
5083,21,28,3,6,CARD,4.1,0.10714285714285714,0
7406,28,9,3,10,COD,2.3,0.3333333333333333,1
4355,46,5,3,6,COD,4.0,0.6,1
4873,19,24,9,1,CARD,2.8,0.375,0
1609,33,29,7,6,UPI,2.1,0.2413793103448276,0
5397,56,17,5,3,COD,3.2,0.29411764705882354,1
7652,30,14,2,3,COD,3.3,0.14285714285714285,0
8918,54,21,9,3,UPI,3.4,0.42857142857142855,1
2372,34,3,0,10,UPI,4.1,0.0,1
479,38,28,5,10,COD,2.9,0.17857142857142858,0
4177,61,1,0,8,COD,2.9,0.0,1
2869,36,20,5,5,CARD,2.2,0.25,0
8025,24,29,7,4,UPI,4.1,0.2413793103448276,0
4181,55,21,6,9,CARD,3.7,0.2857142857142857,0
4969,25,23,4,9,UPI,3.0,0.17391304347826086,0
5447,30,1,1,1,CARD,4.1,1.0,0
4627,54,3,1,2,COD,3.6,0.3333333333333333,0
6335,19,18,3,8,UPI,3.4,0.16666666666666666,0
5773,58,25,8,5,COD,3.5,0.32,0
4331,28,10,3,7,UPI,3.9,0.3,0
7389,41,22,0,1,UPI,4.0,0.0,0
4735,23,26,6,10,COD,2.9,0.23076923076923078,1
2976,43,3,2,5,CARD,2.4,0.6666666666666666,1
9511,24,8,3,3,CARD,2.5,0.375,1
7897,56,14,2,10,COD,3.9,0.14285714285714285,1
8586,36,24,7,2,UPI,4.6,0.2916666666666667,1
862,23,18,4,2,COD,3.2,0.2222222222222222,1
8871,60,15,9,9,COD,2.5,0.6,1
8244,46,22,6,4,CARD,4.3,0.2727272727272727,0
4418,60,23,3,4,COD,4.5,0.13043478260869565,1
9815,56,2,1,7,CARD,4.6,0.5,0
5260,19,27,7,10,COD,3.8,0.25925925925925924,1
6074,36,10,1,10,UPI,4.6,0.1,0
5781,21,2,1,2,UPI,2.0,0.5,1
2214,23,26,1,3,COD,2.3,0.038461538461538464,1
3989,54,17,2,3,COD,2.3,0.11764705882352941,0
9303,45,8,2,6,CARD,4.1,0.25,0
7348,47,1,0,3,UPI,2.2,0.0,1
7966,24,9,2,5,COD,3.5,0.2222222222222222,0
2564,26,11,5,4,UPI,3.4,0.45454545454545453,0
3829,42,22,7,3,COD,2.9,0.3181818181818182,1
6119,50,16,9,8,COD,4.6,0.5625,0
5875,18,7,5,10,UPI,2.5,0.7142857142857143,1
9072,23,29,4,3,COD,3.1,0.13793103448275862,1
6838,35,10,3,6,CARD,4.3,0.3,1
4851,27,23,2,7,UPI,2.1,0.08695652173913043,1
809,45,26,3,7,CARD,4.0,0.11538461538461539,0
8140,28,3,1,2,UPI,4.4,0.3333333333333333,0
4066,50,18,6,3,CARD,4.8,0.3333333333333333,1
571,18,25,0,10,UPI,4.6,0.0,1
7198,30,24,6,10,UPI,3.0,0.25,1
815,54,13,0,4,CARD,3.8,0.0,0
7111,37,28,1,7,UPI,2.2,0.03571428571428571,0
6210,18,26,3,2,COD,2.8,0.11538461538461539,0
